neuron,timestep
Brick-1.103,202
Brick-1.133,202
Brick-1.27,203
Brick-1.74,203
Brick-1.79,203
Brick-1.106,203
Brick-1.175,203
Brick-1.182,203
Brick-1.25,204
Brick-1.183,204
Brick-1.47,205
Brick-1.66,205
Brick-1.76,205
Brick-1.132,205
Brick-1.199,205
Brick-1.17,206
Brick-1.28,206
Brick-1.50,206
Brick-1.68,206
Brick-1.78,206
Brick-1.87,206
Brick-1.105,206
Brick-1.116,206
Brick-1.121,206
Brick-1.146,206
Brick-1.147,206
Brick-1.150,206
Brick-1.161,206
Brick-1.163,206
Brick-1.179,206
Brick-1.197,206
Brick-1.14,207
Brick-1.22,207
Brick-1.30,207
Brick-1.58,207
Brick-1.95,207
Brick-1.109,207
Brick-1.111,207
Brick-1.119,207
Brick-1.142,207
Brick-1.155,207
Brick-1.166,207
Brick-1.170,207
Brick-1.178,207
Brick-1.188,207
Brick-1.18,208
Brick-1.104,208
Brick-1.152,208
Brick-1.186,208
Brick-1.9,209
Brick-1.32,209
Brick-1.38,209
Brick-1.45,209
Brick-1.84,209
Brick-1.92,209
Brick-1.97,209
Brick-1.124,209
Brick-1.127,209
Brick-1.136,209
Brick-1.137,209
Brick-1.144,209
Brick-1.145,209
Brick-1.165,209
Brick-1.169,209
Brick-1.174,209
Brick-1.191,209
Brick-1.0,210
Brick-1.1,210
Brick-1.3,210
Brick-1.6,210
Brick-1.8,210
Brick-1.12,210
Brick-1.19,210
Brick-1.34,210
Brick-1.37,210
Brick-1.40,210
Brick-1.46,210
Brick-1.51,210
Brick-1.52,210
Brick-1.55,210
Brick-1.57,210
Brick-1.59,210
Brick-1.60,210
Brick-1.62,210
Brick-1.85,210
Brick-1.107,210
Brick-1.108,210
Brick-1.112,210
Brick-1.113,210
Brick-1.115,210
Brick-1.126,210
Brick-1.129,210
Brick-1.134,210
Brick-1.139,210
Brick-1.141,210
Brick-1.149,210
Brick-1.154,210
Brick-1.156,210
Brick-1.157,210
Brick-1.171,210
Brick-1.172,210
Brick-1.176,210
Brick-1.180,210
Brick-1.187,210
Brick-1.190,210
Brick-1.192,210
Brick-1.194,210
Brick-1.31,211
Brick-1.36,211
Brick-1.42,211
Brick-1.53,211
Brick-1.61,211
Brick-1.65,211
Brick-1.72,211
Brick-1.110,211
Brick-1.138,211
